android.app.Activity,int getChangingConfigurations()," If this activity is being destroyed because it can not handle a configuration parameter being changed (and thus its onConfigurationChanged(Configuration) method is not being called), then you can use this method to discover the set of changes that have occurred while in the process of being destroyed."
android.media.MediaDrm,"byte[] provideKeyResponse(byte[] scope, byte[] response)"," A key response is received from the license server by the app, then it is provided to the MediaDrm instance using provideKeyResponse."
android.media.MediaPlayer,"byte[] provideKeyResponse(byte[] keySetId, byte[] response)"," A key response is received from the license server by the app, then it is provided to the DRM engine plugin using provideKeyResponse."
android.media.MediaPlayer2,"abstract byte[] provideKeyResponse(byte[] keySetId, byte[] response)"," A key response is received from the license server by the app, then it is provided to the DRM engine plugin using provideKeyResponse."
android.net.Uri.Builder,"Uri.Builder appendQueryParameter(String key, String value)", Encodes the key and value and then appends the parameter to the query string.
android.view.animation.Animation,void setDetachWallpaper(boolean detachWallpaper)," If detachWallpaper is true, and this is a window animation of a window that has a wallpaper background, then the window will be detached from the wallpaper while it runs."
android.view.View.AccessibilityDelegate,"boolean dispatchPopulateAccessibilityEvent(View host, AccessibilityEvent event)", Dispatches an AccessibilityEvent to the host View first and then to its children for adding their text content to the event.
android.view.View,boolean dispatchPopulateAccessibilityEvent(AccessibilityEvent event), Dispatches an AccessibilityEvent to the View first and then to its children for adding their text content to the event.
android.view.View,"boolean getGlobalVisibleRect(Rect r, Point globalOffset)"," If some part of this view is not clipped by any of its parents, then return that area in r in global (root) coordinates."
android.view.ViewParent,abstract void createContextMenu(ContextMenu menu), Have the parent populate the specified context menu if it has anything to add (and then recurse on its parent).
android.view.ViewStructure,abstract void setDataIsSensitive(boolean sensitive)," Sets whether the data on this node is sensitive; if it is, then its content (text, autofill value, etc..) is striped before calls to onFillRequest(android.service.autofill.FillRequest, android.os.CancellationSignal, android.service.autofill.FillCallback)."
