android.animation.Animator.AnimatorPauseListener,abstract void onAnimationResume(Animator animation)," Notifies that the animation was resumed, after being previously paused."
android.animation.AnimatorListenerAdapter,void onAnimationResume(Animator animation)," Notifies that the animation was resumed, after being previously paused."
android.app.ActionBar.Tab,abstract View getCustomView(), Retrieve a previously set custom view for this tab.
android.app.Activity,void finishActivity(int requestCode)," Force finish another activity that you had previously started with startActivityForResult(Intent, int)."
android.app.Activity,Object getLastNonConfigurationInstance(), Retrieve the non-configuration instance data that was previously returned by onRetainNonConfigurationInstance().
android.app.Activity,void stopLocalVoiceInteraction(), Request to terminate the current voice interaction that was previously started using startLocalVoiceInteraction(Bundle).
android.app.Fragment,void onDestroyView()," Called when the view previously created by onCreateView(LayoutInflater, ViewGroup, Bundle) has been detached from the fragment."
android.app.FragmentTransaction,abstract FragmentTransaction attach(Fragment fragment), Re-attach a fragment after it had previously been detached from the UI with detach(Fragment).
android.app.FragmentTransaction,abstract FragmentTransaction show(Fragment fragment), Shows a previously hidden fragment.
android.media.AsyncPlayer,void stop(), Stop a previously played sound.
android.media.AudioManager,void unregisterAudioDeviceCallback(AudioDeviceCallback callback), Unregisters an AudioDeviceCallback object which has been previously registered to receive notifications of changes to the set of connected audio devices.
android.media.AudioManager,void unregisterAudioPlaybackCallback(AudioManager.AudioPlaybackCallback cb)," Unregister an audio playback callback previously registered with registerAudioPlaybackCallback(AudioPlaybackCallback, Handler)."
android.media.AudioManager,void unregisterAudioRecordingCallback(AudioManager.AudioRecordingCallback cb)," Unregister an audio recording callback previously registered with registerAudioRecordingCallback(AudioRecordingCallback, Handler)."
android.media.AudioRecord.OnRecordPositionUpdateListener,abstract void onMarkerReached(AudioRecord recorder), Called on the listener to notify it that the previously set marker has been reached by the recording head.
android.media.AudioRecord,void removeOnRoutingChangedListener(AudioRouting.OnRoutingChangedListener listener), Removes an AudioRouting.OnRoutingChangedListener which has been previously added to receive rerouting notifications.
android.media.AudioRecord,void setRecordPositionUpdateListener(AudioRecord.OnRecordPositionUpdateListener listener), Sets the listener the AudioRecord notifies when a previously set marker is reached or for each periodic record head position update.
android.media.AudioRecord,"void setRecordPositionUpdateListener(AudioRecord.OnRecordPositionUpdateListener listener, Handler handler)", Sets the listener the AudioRecord notifies when a previously set marker is reached or for each periodic record head position update.
android.media.AudioRouting,abstract void removeOnRoutingChangedListener(AudioRouting.OnRoutingChangedListener listener), Removes an AudioRouting.OnRoutingChangedListener which has been previously added to receive rerouting notifications.
android.media.AudioTrack.OnPlaybackPositionUpdateListener,abstract void onMarkerReached(AudioTrack track), Called on the listener to notify it that the previously set marker has been reached by the playback head.
android.media.AudioTrack,void removeOnRoutingChangedListener(AudioRouting.OnRoutingChangedListener listener), Removes an AudioRouting.OnRoutingChangedListener which has been previously added to receive rerouting notifications.
android.media.AudioTrack,void removeStreamEventCallback()," Unregisters the callback for notification of stream events, previously set by setStreamEventCallback(Executor, StreamEventCallback)."
